env_step,episode,epsilon,episode_reward,total_waiting_time,throughput,loss
62000,86,0.22499999999999998,-181.97992184571922,87.0,197,0.2988870441913605
62200,86,0.22249999999999992,-543.3595528881997,180.0,1323,0.019540531560778618
62400,86,0.21999999999999997,-718.4392485897988,81.0,2443,0.03370357304811478
62600,86,0.21749999999999992,-1041.679097680375,134.0,3534,0.028679898008704185
62800,87,0.21499999999999997,-347.93995147012174,144.0,647,0.03059818036854267
63000,87,0.21250000000000002,-698.599781325087,212.0,1763,0.028890682384371758
63200,87,0.20999999999999996,-908.869659235701,146.0,2871,0.040581051260232925
63400,88,0.20750000000000002,-130.46999453380704,96.0,26,0.01763395220041275
63600,88,0.20499999999999996,-480.86982582882047,174.0,1121,0.040045116096735
63800,88,0.2025,-674.8296476490796,82.0,2217,0.03918493539094925
64000,88,0.20000000000000007,-915.4094143994153,59.0,3316,0.04469049721956253
64200,89,0.1974999999999999,-248.16989946365356,103.0,420,0.05172594636678696
64400,89,0.19499999999999995,-485.2197389602661,57.0,1541,0.057171378284692764
64600,89,0.1925,-862.3895981311798,142.0,2665,0.02306082285940647
64800,89,0.18999999999999995,-1129.989367723465,124.0,3776,0.10416972637176514
65000,90,0.1875,-393.409855209291,128.0,876,0.032680314034223557
65200,90,0.18499999999999994,-665.6296766623855,113.0,1990,0.029415057972073555
65400,90,0.1825,-920.8894847258925,88.0,3113,0.03342282027006149
65600,91,0.18000000000000005,-220.880006570369,125.0,205,0.0294480063021183
65800,91,0.1775,-494.06978871300817,102.0,1324,0.025409869849681854
66000,91,0.17500000000000004,-807.6696212477982,133.0,2445,0.04473155736923218
66200,91,0.1725,-1050.389440793544,90.0,3545,0.022138843312859535
66400,92,0.16999999999999993,-341.4998581074178,127.0,652,0.030600009486079216
66600,92,0.16749999999999998,-622.0896699093282,142.0,1761,0.13602477312088013
66800,92,0.16499999999999992,-879.7993380688131,128.0,2860,0.022128388285636902
67000,93,0.16249999999999998,-116.4099834524095,85.0,28,0.018743619322776794
67200,93,0.15999999999999992,-469.9898026548326,169.0,1116,0.017199253663420677
67400,93,0.15749999999999997,-705.9796043001115,125.0,2229,0.01821722835302353
67600,93,0.15500000000000003,-952.1094499193132,102.0,3316,0.032979704439640045
67800,94,0.15249999999999997,-329.83992329239845,185.0,427,0.01894111931324005
68000,94,0.15000000000000002,-568.7997359335423,150.0,1546,0.3059288263320923
68200,94,0.14749999999999996,-867.6095589697361,178.0,2669,0.02585812471807003
68400,94,0.14500000000000002,-1092.1393851339817,131.0,3782,0.019141143187880516
68600,95,0.14250000000000007,-377.6699035447091,132.0,883,0.028824005275964737
68800,95,0.1399999999999999,-607.6297629158944,79.0,1995,0.049326151609420776
69000,95,0.13749999999999996,-858.8396570961922,54.0,3111,0.012495134957134724
69200,96,0.135,-193.2900090739131,105.0,206,0.08525437116622925
69400,96,0.13249999999999995,-523.609896235168,149.0,1323,0.03835313767194748
69600,96,0.13,-732.7498007342219,84.0,2445,0.09173627942800522
69800,96,0.12749999999999995,-1091.4596705958247,162.0,3545,0.015223716385662556
70000,97,0.125,-313.8499599657953,113.0,656,0.022571392357349396
70200,97,0.12250000000000005,-598.1098328791559,126.0,1772,0.027556434273719788
70400,97,0.12,-890.1596842966974,138.0,2866,0.07809233665466309
70600,98,0.11750000000000005,-183.9199937544763,152.0,26,0.019227052107453346
70800,98,0.11499999999999999,-466.169766779989,177.0,1117,0.05594674125313759
71000,98,0.11249999999999993,-641.3895181380212,89.0,2224,0.010373080149292946
71200,98,0.10999999999999999,-992.8692291937768,188.0,3314,0.018074726685881615
71400,99,0.10749999999999993,-255.15990415215492,124.0,411,0.009686158038675785
71600,99,0.10499999999999998,-601.7496875822544,217.0,1543,0.015331689268350601
